hyperparameter,corr_gap_ratio,corr_empirical_epsilon,corr_clean_accuracy,normalized_variance
noise_multiplier,-0.4578265630553364,0.059607756287733495,0.0061087761445889075,0.3265986323710904
max_grad_norm,-0.22006158768046769,-0.1797741268780177,0.9925711723059185,0.2460377840799428
svd_scale,-0.001235417099608435,0.022729119625734907,-1.0792137010985075e-17,0.6294651817966896
learning_rate,-7.655436240312188e-17,0.0,0.0,2.801619706687352e-17
delta,-7.655436240312188e-17,0.0,0.0,1.709972965507417e-21
alpha,4.082899328166501e-17,3.590806148641411e-17,1.0382933753830616e-14,2.1012147800155137e-17
batch_size,0.0,0.0,0.0,0.0
poisoning_k,0.0,0.0,0.0,0.0
seed,0.0,0.0,0.0,0.0
num_trials,0.0,0.0,0.0,0.0
trigger_size,0.0,0.0,0.0,0.0
weight_decay,0.0,0.0,0.0,0.0
epochs,0.0,0.0,0.0,0.0
target_label,0.0,0.0,0.0,0.0
